Index,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,kudahuvadhoo,2.6708,72.8944,82.35,71,60,13.76,MV,1624226634
286,bujumbura,-3.3822,29.3644,72.03,68,73,1.83,BI,1624226635
287,eureka,40.8021,-124.1637,89.67,74,51,10.0,US,1624226635
288,broome,42.2506,-75.833,83.17,67,20,8.05,US,1624226635
289,carauari,-4.8828,-66.8958,76.23,97,79,2.26,BR,1624226636
290,hofn,64.2539,-15.2082,45.19,82,11,8.48,IS,1624226636
291,gondanglegi,-7.7479,112.0132,72.9,92,97,2.1,ID,1624226636
292,srednekolymsk,67.45,153.6833,65.35,37,7,17.81,RU,1624226637
293,dunedin,-45.8742,170.5036,43.81,84,19,3.09,NZ,1624226637
294,ishigaki,24.3448,124.1572,84.4,81,100,6.6,JP,1624226637
295,nome,64.5011,-165.4064,67.15,55,75,11.5,US,1624226638
296,verkhoyansk,67.5447,133.385,78.82,29,95,8.1,RU,1624226469
297,kenai,60.5544,-151.2583,61.03,70,90,16.11,US,1624226638
298,limbuhan,11.8838,124.0501,82.9,77,100,14.25,PH,1624226639
299,bredasdorp,-34.5322,20.0403,62.82,45,80,6.49,ZA,1624226639
300,tooele,40.5308,-112.2983,92.23,21,1,9.22,US,1624226388
301,zlobin,45.2924,14.6541,69.15,83,0,1.14,HR,1624226640
302,kieta,-6.2167,155.6333,81.19,79,51,3.69,PG,1624226640
303,alofi,-19.0595,-169.9187,74.48,69,46,9.53,NU,1624226640
304,diamantino,-14.4086,-56.4461,75.54,53,4,4.47,BR,1624226641
305,kirakira,-10.4544,161.9205,80.94,75,97,4.38,SB,1624226641
306,ponta do sol,32.6667,-17.1,71.01,75,52,5.26,PT,1624226641
307,lagoa,39.05,-27.9833,64.56,73,2,12.12,PT,1624226642
308,mishan,45.55,131.8833,55.69,82,98,3.96,CN,1624226642
309,eregli,37.5133,34.0467,65.32,55,4,4.18,TR,1624226642
310,imbituba,-28.24,-48.6703,58.98,93,96,5.64,BR,1624226643
311,shimoda,34.6667,138.95,74.16,78,100,4.9,JP,1624226643
312,nemuro,43.3236,145.575,47.64,97,100,19.26,JP,1624226643
313,namtsy,62.7161,129.6658,71.71,40,14,4.09,RU,1624226644
314,mount gambier,-37.8333,140.7667,40.17,94,0,4.99,AU,1624226644
315,ballina,-28.8667,153.5667,55.51,87,64,11.88,AU,1624226644
316,qaqortoq,60.7167,-46.0333,46.9,94,100,1.81,GL,1624226645
317,ilulissat,69.2167,-51.1,37.42,93,90,10.36,GL,1624226645
318,riyadh,24.6877,46.7219,89.65,11,0,4.61,SA,1624226645
319,povenets,62.8487,34.8262,63.75,74,94,5.55,RU,1624226646
320,dingle,10.9995,122.6711,76.96,89,100,6.35,PH,1624226646
321,anderson,34.5334,-82.6499,83.25,82,86,1.99,US,1624226419
322,goderich,43.7501,-81.7165,79.21,72,100,4.68,CA,1624226420
323,wanxian,30.8039,108.3897,70.48,81,96,1.52,CN,1624226647
324,booue,-0.0921,11.9385,74.59,95,51,2.39,GA,1624226647
325,ohangaron,40.9064,69.6383,64.54,31,0,2.35,UZ,1624226648
326,puerto suarez,-18.95,-57.8,67.21,60,5,3.02,BO,1624226648
327,thabazimbi,-24.5917,27.4116,52.84,56,5,3.87,ZA,1624226648
328,ust-kuyga,70.0167,135.6,76.68,33,76,4.36,RU,1624226648
329,college,64.8569,-147.8028,73.0,47,75,0.0,US,1624226649
330,talnakh,69.4865,88.3972,45.32,97,100,3.24,RU,1624226649
331,simpang,-1.2667,104.0833,73.44,95,100,1.28,ID,1624226649
332,sumbe,-11.2061,13.8437,71.58,85,8,3.98,AO,1624226650
333,banjar,-8.19,114.9675,76.86,88,43,3.31,ID,1624226650
334,pontianak,-0.0333,109.3333,73.38,100,90,1.14,ID,1624226650
335,omsukchan,62.5333,155.8,49.84,52,100,7.49,RU,1624226651
336,maxixe,-23.8597,35.3472,64.76,77,28,6.26,MZ,1624226651
337,tuatapere,-46.1333,167.6833,41.25,92,31,2.66,NZ,1624226651
338,sol-iletsk,51.1631,54.9918,66.83,87,0,8.77,RU,1624226652
339,quatre cocos,-20.2078,57.7625,68.09,56,90,18.37,MU,1624226652
340,gorom-gorom,14.4439,-0.2361,93.45,35,50,8.63,BF,1624226652
341,khorixas,-20.3667,14.9667,64.02,32,0,7.85,NA,1624226653
342,abnub,27.2696,31.1511,84.63,21,0,4.09,EG,1624226653
343,simao,22.7886,100.9748,63.27,98,92,0.94,CN,1624226653
